,userId,genre,mean,genreId
1,1,Action,2.8,1
2,1,Adventure,2.1666666666666665,2
3,1,Animation,2.0,3
4,1,Children,2.5,4
5,1,Comedy,2.0,5
6,1,Crime,2.5,6
8,1,Drama,2.5714285714285716,8
9,1,Fantasy,2.125,9
11,1,Horror,3.0,11
13,1,Musical,3.0,13
15,1,Romance,3.5,15
16,1,Sci-Fi,2.4,16
17,1,Thriller,2.8333333333333335,17
18,1,War,2.0,18
19,1,Western,3.0,19
21,2,Action,3.3157894736842106,1
22,2,Adventure,3.75,2
23,2,Animation,3.6666666666666665,3
24,2,Children,3.5,4
25,2,Comedy,3.09375,5
26,2,Crime,3.6666666666666665,6
28,2,Drama,3.6153846153846154,8
29,2,Fantasy,3.4,9
31,2,Horror,3.5,11
32,2,IMAX,4.0,12
33,2,Musical,3.75,13
34,2,Mystery,4.0,14
35,2,Romance,3.590909090909091,15
36,2,Sci-Fi,3.8,16
37,2,Thriller,3.3333333333333335,17
38,2,War,3.8,18
39,2,Western,5.0,19
41,3,Action,3.46875,1
42,3,Adventure,3.3,2
43,3,Animation,2.875,3
44,3,Children,2.7,4
45,3,Comedy,3.611111111111111,5
46,3,Crime,3.7,6
47,3,Documentary,3.6666666666666665,7
48,3,Drama,3.92,8
49,3,Fantasy,3.0,9
51,3,Horror,3.375,11
52,3,IMAX,2.875,12
53,3,Musical,2.5,13
54,3,Mystery,3.75,14
55,3,Romance,3.65,15
56,3,Sci-Fi,3.142857142857143,16
57,3,Thriller,3.5454545454545454,17
58,3,War,4.166666666666667,18
59,3,Western,4.0,19
61,4,Action,4.274193548387097,1
62,4,Adventure,4.338709677419355,2
63,4,Animation,4.708333333333333,3
64,4,Children,4.634146341463414,4
65,4,Comedy,4.329545454545454,5
66,4,Crime,4.157894736842105,6
67,4,Documentary,4.0,7
68,4,Drama,4.464285714285714,8
69,4,Fantasy,4.5675675675675675,9
70,4,Film-Noir,5.0,10
71,4,Horror,3.9444444444444446,11
72,4,IMAX,5.0,12
73,4,Musical,4.833333333333333,13
74,4,Mystery,4.090909090909091,14
75,4,Romance,4.5,15
76,4,Sci-Fi,4.255813953488372,16
77,4,Thriller,4.0227272727272725,17
78,4,War,4.75,18
79,4,Western,3.0,19
81,5,Action,4.0,1
82,5,Adventure,3.825,2
83,5,Animation,3.9,3
84,5,Children,3.892857142857143,4
85,5,Comedy,3.981818181818182,5
86,5,Crime,3.45,6
87,5,Documentary,3.6666666666666665,7
88,5,Drama,3.8076923076923075,8
89,5,Fantasy,3.75,9
91,5,Horror,3.875,11
92,5,IMAX,4.0,12
93,5,Musical,4.25,13
94,5,Mystery,3.3333333333333335,14
95,5,Romance,4.081081081081081,15
96,5,Sci-Fi,4.0,16
97,5,Thriller,3.625,17
98,5,War,4.0,18
101,6,Action,3.2666666666666666,1
102,6,Adventure,3.7333333333333334,2
103,6,Animation,3.5,3
104,6,Children,3.2,4
105,6,Comedy,2.90625,5
106,6,Crime,3.5,6
108,6,Drama,3.55,8
109,6,Fantasy,3.6875,9
111,6,Horror,3.3333333333333335,11
112,6,IMAX,3.75,12
113,6,Musical,3.0,13
114,6,Mystery,2.8333333333333335,14
115,6,Romance,2.9,15
116,6,Sci-Fi,2.75,16
117,6,Thriller,2.7222222222222223,17
118,6,War,4.166666666666667,18
121,7,Action,3.2857142857142856,1
122,7,Adventure,3.65625,2
123,7,Animation,4.083333333333333,3
124,7,Children,3.7857142857142856,4
125,7,Comedy,3.5405405405405403,5
126,7,Crime,3.6363636363636362,6
128,7,Drama,3.5172413793103448,8
129,7,Fantasy,3.3076923076923075,9
131,7,Horror,2.5,11
132,7,IMAX,3.0,12
133,7,Musical,3.5,13
134,7,Mystery,2.5,14
135,7,Romance,2.933333333333333,15
136,7,Sci-Fi,3.36,16
137,7,Thriller,3.0,17
138,7,War,3.6,18
139,7,Western,2.5,19
141,8,Action,3.967741935483871,1
142,8,Adventure,3.8636363636363638,2
143,8,Animation,3.5,3
144,8,Children,3.5,4
145,8,Comedy,3.796875,5
146,8,Crime,4.2,6
147,8,Documentary,3.0,7
148,8,Drama,3.7672413793103448,8
149,8,Fantasy,3.5,9
150,8,Film-Noir,3.5,10
151,8,Horror,3.857142857142857,11
152,8,IMAX,4.0,12
153,8,Musical,3.5,13
154,8,Mystery,4.3076923076923075,14
155,8,Romance,3.717391304347826,15
156,8,Sci-Fi,4.038461538461538,16
157,8,Thriller,4.075757575757576,17
158,8,War,4.083333333333333,18
161,9,Action,3.25,1
162,9,Adventure,3.1666666666666665,2
163,9,Animation,3.3333333333333335,3
164,9,Children,3.0,4
165,9,Comedy,3.7142857142857144,5
166,9,Crime,3.888888888888889,6
168,9,Drama,4.0,8
169,9,Fantasy,3.6,9
171,9,Horror,4.0,11
173,9,Musical,4.0,13
174,9,Mystery,3.5,14
175,9,Romance,3.875,15
176,9,Sci-Fi,4.25,16
177,9,Thriller,3.6,17
178,9,War,3.6666666666666665,18
181,10,Action,3.6666666666666665,1
182,10,Adventure,3.923076923076923,2
185,10,Comedy,3.5833333333333335,5
186,10,Crime,3.5714285714285716,6
188,10,Drama,4.066666666666666,8
189,10,Fantasy,4.5,9
191,10,Horror,3.4285714285714284,11
193,10,Musical,3.0,13
194,10,Mystery,3.75,14
195,10,Romance,3.857142857142857,15
196,10,Sci-Fi,3.875,16
197,10,Thriller,3.5,17
198,10,War,4.0,18
199,10,Western,2.0,19
201,11,Action,4.1923076923076925,1
202,11,Adventure,4.2727272727272725,2
204,11,Children,3.5,4
205,11,Comedy,3.7,5
206,11,Crime,4.291666666666667,6
207,11,Documentary,3.9166666666666665,7
208,11,Drama,4.131578947368421,8
209,11,Fantasy,4.0,9
210,11,Film-Noir,4.0,10
211,11,Horror,2.0,11
212,11,IMAX,4.416666666666667,12
214,11,Mystery,4.4,14
215,11,Romance,4.5,15
216,11,Sci-Fi,4.625,16
217,11,Thriller,4.033333333333333,17
218,11,War,4.5,18
219,11,Western,5.0,19
221,12,Action,3.2142857142857144,1
222,12,Adventure,2.6,2
223,12,Animation,1.5,3
224,12,Children,1.4,4
225,12,Comedy,2.7142857142857144,5
226,12,Crime,3.25,6
227,12,Documentary,5.0,7
228,12,Drama,2.76,8
229,12,Fantasy,2.0,9
231,12,Horror,3.75,11
233,12,Musical,2.6666666666666665,13
234,12,Mystery,3.3333333333333335,14
235,12,Romance,2.888888888888889,15
236,12,Sci-Fi,2.6153846153846154,16
237,12,Thriller,3.5,17
239,12,Western,2.5,19
241,13,Action,3.75,1
242,13,Adventure,3.85,2
243,13,Animation,4.0,3
244,13,Children,3.8846153846153846,4
245,13,Comedy,3.5681818181818183,5
246,13,Crime,3.9375,6
248,13,Drama,3.9642857142857144,8
249,13,Fantasy,3.8181818181818183,9
251,13,Horror,3.0,11
252,13,IMAX,4.1,12
253,13,Musical,3.6666666666666665,13
254,13,Mystery,3.625,14
255,13,Romance,3.9,15
256,13,Sci-Fi,3.5833333333333335,16
257,13,Thriller,3.25,17
258,13,War,4.4,18
259,13,Western,3.1666666666666665,19
261,14,Action,2.857142857142857,1
262,14,Adventure,3.125,2
263,14,Animation,2.8,3
264,14,Children,2.75,4
265,14,Comedy,3.0,5
268,14,Drama,2.0,8
269,14,Fantasy,2.75,9
273,14,Musical,2.0,13
275,14,Romance,3.0,15
276,14,Sci-Fi,3.4285714285714284,16
277,14,Thriller,3.0,17
281,15,Action,2.4788583509513744,1
282,15,Adventure,2.4669811320754715,2
283,15,Animation,2.3223684210526314,3
284,15,Children,2.107594936708861,4
285,15,Comedy,2.5409309791332264,5
286,15,Crime,2.74061433447099,6
287,15,Documentary,3.134831460674157,7
288,15,Drama,2.718831168831169,8
289,15,Fantasy,2.1538461538461537,9
290,15,Film-Noir,3.25,10
291,15,Horror,2.3684210526315788,11
292,15,IMAX,2.3313953488372094,12
293,15,Musical,2.303030303030303,13
294,15,Mystery,2.7045454545454546,14
295,15,Romance,2.60580204778157,15
296,15,Sci-Fi,2.513011152416357,16
297,15,Thriller,2.6095041322314048,17
298,15,War,2.625,18
299,15,Western,2.6,19
301,16,Action,3.75,1
302,16,Adventure,3.75,2
305,16,Comedy,4.136363636363637,5
306,16,Crime,4.0,6
308,16,Drama,4.142857142857143,8
309,16,Fantasy,3.0,9
314,16,Mystery,4.5,14
315,16,Romance,4.208333333333333,15
316,16,Sci-Fi,4.2,16
317,16,Thriller,4.0,17
318,16,War,4.0,18
319,16,Western,4.0,19
321,17,Action,3.2565789473684212,1
322,17,Adventure,3.261904761904762,2
323,17,Animation,2.7,3
324,17,Children,2.3,4
325,17,Comedy,3.2466666666666666,5
326,17,Crime,3.837962962962963,6
327,17,Documentary,4.0,7
328,17,Drama,4.023076923076923,8
329,17,Fantasy,3.9130434782608696,9
330,17,Film-Noir,4.5,10
331,17,Horror,3.650943396226415,11
332,17,IMAX,2.0,12
333,17,Musical,3.7,13
334,17,Mystery,4.206896551724138,14
335,17,Romance,3.745614035087719,15
336,17,Sci-Fi,3.6232876712328768,16
337,17,Thriller,3.7848837209302326,17
338,17,War,3.75,18
339,17,Western,3.875,19
341,18,Action,3.3125,1
342,18,Adventure,3.3,2
345,18,Comedy,3.066666666666667,5
346,18,Crime,3.125,6
348,18,Drama,3.347826086956522,8
349,18,Fantasy,3.5,9
351,18,Horror,3.0,11
354,18,Mystery,4.0,14
355,18,Romance,3.3076923076923075,15
356,18,Sci-Fi,3.125,16
357,18,Thriller,3.260869565217391,17
361,19,Action,3.292929292929293,1
362,19,Adventure,3.4714285714285715,2
363,19,Animation,3.8823529411764706,3
364,19,Children,3.923076923076923,4
365,19,Comedy,3.442622950819672,5
366,19,Crime,3.6142857142857143,6
367,19,Documentary,4.0,7
368,19,Drama,3.61244019138756,8
369,19,Fantasy,3.6666666666666665,9
370,19,Film-Noir,4.333333333333333,10
371,19,Horror,3.4,11
372,19,IMAX,3.6666666666666665,12
373,19,Musical,3.6363636363636362,13
374,19,Mystery,3.5641025641025643,14
375,19,Romance,3.4130434782608696,15
376,19,Sci-Fi,3.3773584905660377,16
377,19,Thriller,3.393162393162393,17
378,19,War,4.0,18
379,19,Western,3.25,19
381,20,Action,3.3125,1
382,20,Adventure,3.5625,2
383,20,Animation,4.153846153846154,3
384,20,Children,3.6,4
385,20,Comedy,3.5,5
386,20,Crime,2.5454545454545454,6
388,20,Drama,3.119565217391304,8
389,20,Fantasy,3.05,9
391,20,Horror,2.0,11
392,20,IMAX,3.625,12
393,20,Musical,3.7,13
394,20,Mystery,3.25,14
395,20,Romance,3.761904761904762,15
396,20,Sci-Fi,3.0714285714285716,16
397,20,Thriller,2.9,17
398,20,War,3.1363636363636362,18
399,20,Western,2.5,19
401,21,Action,3.36,1
402,21,Adventure,3.4468085106382977,2
403,21,Animation,3.125,3
404,21,Children,3.3529411764705883,4
405,21,Comedy,3.522727272727273,5
406,21,Crime,3.5,6
408,21,Drama,3.765625,8
409,21,Fantasy,3.3157894736842106,9
410,21,Film-Noir,3.5,10
411,21,Horror,3.2,11
412,21,IMAX,3.0,12
413,21,Musical,3.2222222222222223,13
414,21,Mystery,3.4545454545454546,14
415,21,Romance,3.6538461538461537,15
416,21,Sci-Fi,3.3421052631578947,16
417,21,Thriller,3.289473684210526,17
418,21,War,4.0,18
419,21,Western,3.5714285714285716,19
421,22,Action,3.3798076923076925,1
422,22,Adventure,3.4411764705882355,2
423,22,Animation,3.3666666666666667,3
424,22,Children,2.85,4
425,22,Comedy,3.0,5
426,22,Crime,3.3488372093023258,6
428,22,Drama,3.043859649122807,8
429,22,Fantasy,3.608108108108108,9
430,22,Film-Noir,4.5,10
431,22,Horror,3.557142857142857,11
432,22,IMAX,3.25,12
433,22,Musical,3.0555555555555554,13
434,22,Mystery,3.742424242424242,14
435,22,Romance,3.391304347826087,15
436,22,Sci-Fi,3.3955223880597014,16
437,22,Thriller,3.4939759036144578,17
438,22,War,3.3,18
439,22,Western,3.0,19
441,23,Action,3.3555555555555556,1
442,23,Adventure,3.504385964912281,2
443,23,Animation,3.611111111111111,3
444,23,Children,3.6458333333333335,4
445,23,Comedy,3.581218274111675,5
446,23,Crime,3.746212121212121,6
447,23,Documentary,3.7777777777777777,7
448,23,Drama,3.7130434782608694,8
449,23,Fantasy,3.3981481481481484,9
450,23,Film-Noir,4.025,10
451,23,Horror,3.414285714285714,11
452,23,IMAX,3.3333333333333335,12
453,23,Musical,3.347826086956522,13
454,23,Mystery,3.77027027027027,14
455,23,Romance,3.592814371257485,15
456,23,Sci-Fi,3.5,16
457,23,Thriller,3.577639751552795,17
458,23,War,3.4916666666666667,18
459,23,Western,3.6,19
461,24,Action,3.6363636363636362,1
462,24,Adventure,3.4,2
463,24,Animation,3.0,3
464,24,Children,3.0,4
465,24,Comedy,3.8,5
466,24,Crime,3.857142857142857,6
468,24,Drama,3.7777777777777777,8
471,24,Horror,3.0,11
472,24,IMAX,3.0,12
473,24,Musical,3.0,13
474,24,Mystery,4.0,14
475,24,Romance,3.75,15
476,24,Sci-Fi,3.3333333333333335,16
477,24,Thriller,3.8333333333333335,17
478,24,War,4.0,18
479,24,Western,4.0,19
481,25,Action,3.0,1
482,25,Adventure,3.1666666666666665,2
483,25,Animation,3.0,3
484,25,Children,5.0,4
485,25,Comedy,2.9166666666666665,5
486,25,Crime,3.1666666666666665,6
488,25,Drama,3.2,8
489,25,Fantasy,2.75,9
491,25,Horror,2.0,11
493,25,Musical,5.0,13
494,25,Mystery,2.5,14
495,25,Romance,3.0,15
496,25,Sci-Fi,3.1666666666666665,16
497,25,Thriller,3.1818181818181817,17
501,26,Action,3.458904109589041,1
502,26,Adventure,3.1704545454545454,2
503,26,Animation,3.3666666666666667,3
504,26,Children,4.090909090909091,4
505,26,Comedy,3.360655737704918,5
506,26,Crime,3.589041095890411,6
507,26,Documentary,3.5,7
508,26,Drama,3.575,8
